dummy,newshead,date,office,title,attacker,advantage,Evaluated,namming,partiality,Sum,URL
_,1100701.202,20201127,세계일보,“오늘 너 킬한다” 또래 집단 성폭행 중학생들 징역 6 7년,남성,0,0,0,0,0,http://www.segye.com/content/html/2020/11/27/20201127514418.html
_,1100611.202,20201127,서울신문,여경 성폭행 혐의 경찰관 항소심서 일부 무죄로 감형,남성,0,0,0,1,1,http://www.seoul.co.kr/news/newsView.php?id=20201127500131
_,2100101.202,20201127,매일경제,`인천 여중생 집단 성폭행` 중학생 2명에 중형 선고,남성,0,0,0,1,1,http://news.mk.co.kr/newsRead.php?no=1223576&year=2020
_,1100101.202,20201127,경향신문,또래 여중생 집단 성폭행한 남학생 2명에 중형 선고,남성,0,0,0,0,0,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202011271619001&code=940301
_,1100201.202,20201127,국민일보,여중생 집단성폭행 피해자 가족 “징역 6 7년 실망”,남성,0,0,0,1,1,http://news.kmib.co.kr/article/view.asp?arcid=0015263842&code=61121111&cp=kd
_,1100701.202,20201127,세계일보,"동료 성폭행 혐의 경찰관 항소심서 '무죄' ""피해자 진술 번복""",남성,1,1,0,0,2,http://www.segye.com/content/html/2020/11/27/20201127513958.html
_,1100201.202,20201127,국민일보,여중생 집단성폭행한 중학생 2명 징역 6 7년 “범행 충격적”,남성,0,-1,0,1,0,http://news.kmib.co.kr/article/view.asp?arcid=0015263813&code=61121211&cp=kd
_,2100201.202,20201127,머니투데이,"""오늘 너 킬한다"" '인천 여중생 성폭행' 중학생 2명 중형",남성,0,0,0,1,1,http://news.moneytoday.co.kr/view/mtview.php?no=2020112715195245604&type=2
_,1101001.202,20201127,한겨레,‘인천 동급생 성폭행사건’ 가해 중학생 2명 징역 4 7년 선고,남성,0,0,0,0,0,http://www.hani.co.kr/arti/area/capital/971855.html
_,1100901.202,20201127,중앙일보,"""오늘 너 킬한다"" 여중생 집단성폭행한 중학생 2명 징역 6 7년",남성,0,0,0,1,1,https://news.joins.com/article/olink/23526469
_,1200201.202,20201127,경인일보,인천 '여중생 집단 성폭행 사건' 가해 남학생 2명 실형 선고,남성,0,0,0,0,0,http://www.kyeongin.com/main/view.php?key=20201127010005585
_,1101101.202,20201127,한국일보,"'동급생 집단 성폭행' 중학생 2명에 최대 징역 6, 7년 선고",남성,0,0,0,0,0,https://hankookilbo.com/News/Read/A2020112714060005273
_,2100601.202,20201127,한국경제,"'동급생 집단 성폭행' 중학생 2명 징역 6 7년 ""수법 충격적""",남성,0,-1,0,0,-1,https://www.hankyung.com/society/article/2020112794397
_,2100101.202,20201127,매일경제,"여중생 성폭력 혐의 중학생 2명 중형 ""수법 대담하고 충격적""",남성,0,-1,0,1,0,http://news.mk.co.kr/newsRead.php?no=1223090&year=2020
_,8100401.202,20201127,YTN,"'여중생 집단 성폭행' 중학생 2명에 최대 징역 7년 선고...""범행 직후 하이파이브""",남성,-1,0,0,1,0,https://www.ytn.co.kr/_ln/0103_202011271445494683
_,1100701.202,20201127,세계일보,“가출 신고하겠다” 10대 협박 성폭행한 20대 남성 징역 7년,남성,0,0,0,0,0,http://www.segye.com/content/html/2020/11/27/20201127507190.html
_,1100701.202,20201127,세계일보,"노래방 강간상해범, 14년 만에 DNA로 검거 징역 8년",남성,0,0,0,0,0,http://www.segye.com/content/html/2020/11/27/20201127503018.html
_,8100101.202,20201127,KBS,‘신도 성폭행’ 익산 모 교회 목사 징역 12년 형 확정,남성,0,0,0,0,0,http://news.kbs.co.kr/news/view.do?ncd=5058004&amp;ref=DA
_,2100851.202,20201127,아주경제,"""이래야 천국간다"" 신도 상습성폭행 목사 징역12년 확정",남성,0,0,0,0,0,http://www.ajunews.com/view/20201126215335558
_,1200101.202,20201127,경기일보,화성 대기업 간부가 교제 여성 사촌동생 성폭행 검찰 넘겨져,남성,0,0,0,1,1,www.kyeonggi.com/news/articleView.html?idxno=2331032
_,2100601.202,20201126,한국경제,"대법, '신도 성폭행' 익산 교회 목사에 징역 12년 확정",남성,0,0,0,0,0,https://www.hankyung.com/society/article/2020112668557
_,2100311.202,20201126,서울경제,"""하나님 사랑이니 괜찮다"" 신도 성폭행 추행 교회 목사 징역 12년 확정",남성,0,0,0,0,0,http://www.sedaily.com/NewsView/1ZAK4TAZHM
_,8100101.202,20201126,KBS,‘신도 성폭행’ 익산 모 교회 목사 징역 12년 형 확정,남성,0,0,0,0,0,http://news.kbs.co.kr/news/view.do?ncd=5057674&amp;ref=DA
_,8100401.202,20201126,YTN,연인의 사촌동생 성폭행한 대기업 간부 검찰 송치,남성,0,0,0,0,0,https://www.ytn.co.kr/_ln/0103_202011261915002817
_,1100901.202,20201126,중앙일보,30년간 교인 십수명 성폭행한 장로교 목사 징역 12년 확정,남성,0,0,0,0,0,https://news.joins.com/article/olink/23525743
_,1400501.202,20201126,중부일보,"대기업 간부 직원, 교제하던 여성 사촌동생 성폭행 검찰 송치",남성,0,0,0,1,1,www.joongboo.com/news/articleView.html?idxno=363458498
_,1100701.202,20201126,세계일보,초등여학생 성폭행 동영상 SNS 유포 중학생 '소년부 송치',남성,0,0,0,1,1,http://www.segye.com/content/html/2020/11/26/20201126520491.html
_,2100851.202,20201119,아주경제,"오달수 ""'미투' 논란 후, 술로 버텨 생각 비웠다""",남성,1,0,1,0,2,http://www.ajunews.com/view/20201119155429650
_,1100201.202,20201119,국민일보,“돌아보면 죽인다” 귀갓길 여성 두번 성폭행 20대 중형,남성,-1,0,0,1,0,http://news.kmib.co.kr/article/view.asp?arcid=0015235909&code=61121311&cp=kd
_,8100101.202,20201112,KBS,"검찰, 성추행 혐의 교수 무죄 선고에 ‘대법원 상고’",남성,0,0,1,0,1,http://news.kbs.co.kr/news/view.do?ncd=5047184&amp;ref=DA
_,1601101.202,20201112,전북일보,"검찰, 성추행 혐의 전주대 교수 항소심 무죄 판결에 ‘상고’",남성,0,-1,1,0,0,http://www.jjan.kr/news/articleView.html?idxno=2095918
